"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/POL","PL","Poland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",65977748210.5263,"Nominal GDP"
"country/POL","PL","Poland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",85500935934.9901,"Nominal GDP"
"country/POL","PL","Poland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",94337050693.2727,"Nominal GDP"
"country/POL","PL","Poland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",96043157272.862,"Nominal GDP"
"country/POL","PL","Poland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",110803635287.621,"Nominal GDP"
"country/POL","PL","Poland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",142838527115.448,"Nominal GDP"
"country/POL","PL","Poland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",160813026223.063,"Nominal GDP"
"country/POL","PL","Poland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",159893964916.817,"Nominal GDP"
"country/POL","PL","Poland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",175282269666.801,"Nominal GDP"
"country/POL","PL","Poland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",170704452714.673,"Nominal GDP"
